COUNTRY_ID,COUNTRY_NAME,TYPE_ID,TYPE_NAME,NUMBER,QTY,TOKEN_ID,CAMISETA,POS,FULL_NAME,FIRST_NAME,LAST_NAME,SHIRT_NAME,DOB,CLUB,HEIGHT
1,Qatar,2,Away,23,22,1223,26,MC,Moustafa Tarek,Moustafa Tarek M M,Mashal,Mustafa,28/3/2001,Al Sadd SC (QAT),174
1,Qatar,3,Goalkeeper,1,83,1301,1,PO,Saad Alsheeb,Saad Abdulla M E,Alsheeb,Alsheeb,19/2/1990,Al Sadd SC (QAT),188
1,Qatar,3,Goalkeeper,2,165,1302,21,PO,Yousof Hassan,Yousof Hassan M,Ali,Yousof,24/5/1996,Al Gharafa SC (QAT),186
1,Qatar,3,Goalkeeper,3,165,1303,22,PO,Meshaal Barsham,Meshaal Aissa M,Barsham,Barsham,14/2/1998,Al Sadd SC (QAT),180
2,Ecuador,1,Home,1,7,2101,23,MC,Caicedo Moises,Moises Isaac,Caicedo Corozo,Caicedo,2/11/2001,Brighton & Hove Albion FC (ENG),178
2,Ecuador,1,Home,2,16,2102,3,DF,Hincapie Piero,Piero Martin,Hincapie Reyna,Hincapie,9/1/2002,Bayer 04 Leverkusen (GER),183
2,Ecuador,1,Home,3,16,2103,4,DF,Arboleda Robert,Robert Abel,Arboleda Escobar,Arboleda,22/10/1991,Sao Paulo FC (BRA),189
2,Ecuador,1,Home,4,16,2104,5,MC,Cifuentes Jose,Jose Adoni,Cifuentes Charcopa,Cifuentes,12/3/1999,Los Angeles FC (USA),178
2,Ecuador,1,Home,5,16,2105,7,DF,Estupinan Pervis,Pervis Josue,Estupiñán Tenorio,Estupiñan,21/1/1998,Brighton & Hove Albion FC (ENG),175
2,Ecuador,1,Home,6,16,2106,8,MC,Gruezo Carlos,Carlos Armando,Gruezo Arvoleda,Gruezo,19/4/1995,FC Augsburg (GER),172
2,Ecuador,1,Home,7,16,2107,10,MC,Ibarra Romario,Romario Andres,Ibarra Mina,Ibarra,24/9/1994,CF Pachuca (MEX),175
2,Ecuador,1,Home,8,16,2108,11,DC,Estrada Michael,Michael Steveen,Estrada Martínez,Estrada,7/4/1996,Cruz Azul (MEX),187
2,Ecuador,1,Home,9,16,2109,13,DC,Valencia Enner,Enner Remberto,Valencia Lastra,Valencia,4/11/1989,Fenerbahce SK (TUR),177
2,Ecuador,1,Home,10,16,2110,15,MC,Mena Angel,Angel Israel,Mena Delgado,Mena,21/1/1988,Club León (MEX),168
2,Ecuador,1,Home,11,16,2111,17,DF,Preciado Angelo,Angelo Smit,Preciado Quiñonez,Angelo,18/2/1998,KRC Genk (BEL),174
2,Ecuador,1,Home,12,16,2112,19,MC,Plata Gonzalo,Gonzalo Jordy,Plata Jimenez,Plata,1/11/2000,Real Valladolid CF (ESP),178
2,Ecuador,1,Home,13,16,2113,21,MC,Franco Alan,Alan Steven,Franco Palma,Franco,21/8/1998,CA Talleres (ARG),175
2,Ecuador,1,Home,14,16,2114,25,DF,Porozo Jackson,Jackson Gabriel,Porozo Vernaza,Porozo,4/8/2000,ES Troyes (FRA),191
2,Ecuador,1,Home,15,16,2115,2,DF,Torres Felix,Felix Eduardo,Torres Caicedo,Torres,11/1/1997,Club Santos Laguna (MEX),187
2,Ecuador,1,Home,16,22,2116,6,DF,Pacho William,William Joel,Pacho Tenorio,Pacho,16/10/2001,Royal Antwerp FC (BEL),188
2,Ecuador,1,Home,17,22,2117,9,MC,Preciado Ayrton,Eduar Ayrton,Preciado Garcia,Ayrton P.,17/7/1994,Club Santos Laguna (MEX),181
2,Ecuador,1,Home,18,22,2118,14,DF,Arreaga Xavier,Xavier Ricardo,Arreaga Bermello,Arreaga,28/9/1994,Seattle Sounders FC (USA),184
2,Ecuador,1,Home,19,22,2119,16,MC,Sarmiento Jeremy,Jeremy Leonel,Sarmiento Morante,Sarmiento,16/6/2002,Brighton & Hove Albion FC (ENG),178
2,Ecuador,1,Home,20,22,2120,18,DF,Palacios Diego,Diego Jose,Palacios Espinoza,Palacios,12/7/1999,Los Angeles FC (USA),169
2,Ecuador,1,Home,21,22,2121,20,MC,Mendez Jhegson,Jhegson Sebastián,Méndez Carabalí,Mendez,26/4/1997,Los Angeles FC (USA),175
2,Ecuador,1,Home,22,22,2122,24,DC,Reasco Djorkaeff,Djorkaeff Neicer,Reasco Gonzalez,Reasco,18/1/1999,CA Newells Old Boys (ARG),172
2,Ecuador,1,Home,23,22,2123,26,DC,Rodriguez Kevin,Kevin Jose,Rodriguez Cortez,K. Rodriguez,4/3/2000,Imbabura SC (ECU),190
2,Ecuador,2,Away,1,5,2201,23,MC,Caicedo Moises,Moises Isaac,Caicedo Corozo,Caicedo,2/11/2001,Brighton & Hove Albion FC (ENG),178
2,Ecuador,2,Away,2,11,2202,3,DF,Hincapie Piero,Piero Martin,Hincapie Reyna,Hincapie,9/1/2002,Bayer 04 Leverkusen (GER),183
2,Ecuador,2,Away,3,11,2203,4,DF,Arboleda Robert,Robert Abel,Arboleda Escobar,Arboleda,22/10/1991,Sao Paulo FC (BRA),189
2,Ecuador,2,Away,4,11,2204,5,MC,Cifuentes Jose,Jose Adoni,Cifuentes Charcopa,Cifuentes,12/3/1999,Los Angeles FC (USA),178
2,Ecuador,2,Away,5,11,2205,7,DF,Estupinan Pervis,Pervis Josue,Estupiñán Tenorio,Estupiñan,21/1/1998,Brighton & Hove Albion FC (ENG),175
2,Ecuador,2,Away,6,11,2206,8,MC,Gruezo Carlos,Carlos Armando,Gruezo Arvoleda,Gruezo,19/4/1995,FC Augsburg (GER),172
2,Ecuador,2,Away,7,11,2207,10,MC,Ibarra Romario,Romario Andres,Ibarra Mina,Ibarra,24/9/1994,CF Pachuca (MEX),175
2,Ecuador,2,Away,8,11,2208,11,DC,Estrada Michael,Michael Steveen,Estrada Martínez,Estrada,7/4/1996,Cruz Azul (MEX),187
2,Ecuador,2,Away,9,11,2209,13,DC,Valencia Enner,Enner Remberto,Valencia Lastra,Valencia,4/11/1989,Fenerbahce SK (TUR),177
2,Ecuador,2,Away,10,11,2210,15,MC,Mena Angel,Angel Israel,Mena Delgado,Mena,21/1/1988,Club León (MEX),168
2,Ecuador,2,Away,11,11,2211,17,DF,Preciado Angelo,Angelo Smit,Preciado Quiñonez,Angelo,18/2/1998,KRC Genk (BEL),174
2,Ecuador,2,Away,12,11,2212,19,MC,Plata Gonzalo,Gonzalo Jordy,Plata Jimenez,Plata,1/11/2000,Real Valladolid CF (ESP),178
2,Ecuador,2,Away,13,11,2213,21,MC,Franco Alan,Alan Steven,Franco Palma,Franco,21/8/1998,CA Talleres (ARG),175
2,Ecuador,2,Away,14,11,2214,25,DF,Porozo Jackson,Jackson Gabriel,Porozo Vernaza,Porozo,4/8/2000,ES Troyes (FRA),191
2,Ecuador,2,Away,15,11,2215,2,DF,Torres Felix,Felix Eduardo,Torres Caicedo,Torres,11/1/1997,Club Santos Laguna (MEX),187
2,Ecuador,2,Away,16,15,2216,6,DF,Pacho William,William Joel,Pacho Tenorio,Pacho,16/10/2001,Royal Antwerp FC (BEL),188
2,Ecuador,2,Away,17,15,2217,9,MC,Preciado Ayrton,Eduar Ayrton,Preciado Garcia,Ayrton P.,17/7/1994,Club Santos Laguna (MEX),181
2,Ecuador,2,Away,18,15,2218,14,DF,Arreaga Xavier,Xavier Ricardo,Arreaga Bermello,Arreaga,28/9/1994,Seattle Sounders FC (USA),184
2,Ecuador,2,Away,19,15,2219,16,MC,Sarmiento Jeremy,Jeremy Leonel,Sarmiento Morante,Sarmiento,16/6/2002,Brighton & Hove Albion FC (ENG),178
2,Ecuador,2,Away,20,15,2220,18,DF,Palacios Diego,Diego Jose,Palacios Espinoza,Palacios,12/7/1999,Los Angeles FC (USA),169
2,Ecuador,2,Away,21,15,2221,20,MC,Mendez Jhegson,Jhegson Sebastián,Méndez Carabalí,Mendez,26/4/1997,Los Angeles FC (USA),175
2,Ecuador,2,Away,22,15,2222,24,DC,Reasco Djorkaeff,Djorkaeff Neicer,Reasco Gonzalez,Reasco,18/1/1999,CA Newells Old Boys (ARG),172
2,Ecuador,2,Away,23,15,2223,26,DC,Rodriguez Kevin,Kevin Jose,Rodriguez Cortez,K. Rodriguez,4/3/2000,Imbabura SC (ECU),190
2,Ecuador,3,Goalkeeper,1,55,2301,1,PO,Galindez Hernan,Hernan Ismael,Galindez,Galindez,30/3/1987,SD Aucas (ECU),189
2,Ecuador,3,Goalkeeper,2,110,2302,12,PO,Ramirez Moises,Wellington Moises,Ramírez Preciado,Ramirez,9/9/2000,Independiente Del Valle (ECU),185
2,Ecuador,3,Goalkeeper,3,110,2303,22,PO,Dominguez Alexander,Alexander,Dominguez Carabali,Dominguez,5/6/1987,LDU Quito (ECU),195
3,Senegal,1,Home,1,2,3101,10,DC,Mane Sadio,Sadio,Mané,Mané,10/4/1992,FC Bayern München (GER),175
3,Senegal,1,Home,2,5,3102,2,DF,Jakobs Ismail,Ismail Joshua,Jakobs,Jakobs,17/8/1999,AS Monaco (FRA),184
3,Senegal,1,Home,3,5,3103,3,DF,Koulibaly Kalidou,Kalidou,Koulibaly,Koulibaly,20/6/1991,Chelsea FC (ENG),195
3,Senegal,1,Home,4,5,3104,4,DF,Diallo Abdou,Abdou Lakhad,Diallo,Diallo,4/5/1996,RB Leipzig (GER),187
3,Senegal,1,Home,5,5,3105,5,MC,Gueye Idrissa Gana,Idrissa Gana,Gueye,Gana,26/9/1989,Everton FC (ENG),174
3,Senegal,1,Home,6,5,3106,6,MC,Mendy Nampalys,Nampalys,Mendy,Nampalys,23/6/1992,Leicester City FC (ENG),167
3,Senegal,1,Home,7,5,3107,8,DF,Kouyate Cheikhou,Cheikhou,Kouyate,Kouyate,21/12/1989,Nottingham Forest FC (ENG),189
3,Senegal,1,Home,8,5,3108,12,DF,Cisse Pape Abou,Pape Abou,Cisse,Pape Abou,14/9/1995,Olympiacos Piraeus FC (GRE),192
3,Senegal,1,Home,9,5,3109,15,MC,Diatta Krepin,Krépin,Diatta,K Diatta,25/2/1999,AS Monaco (FRA),173
3,Senegal,1,Home,10,5,3110,17,MC,Sarr Pape Matar,Pape Matar,Sarr,Pape Sarr,14/9/2002,Tottenham Hotspur FC (ENG),185
3,Senegal,1,Home,11,5,3111,18,DC,Sarr Ismaila,Ismaila,Sarr,I Sarr,25/2/1998,Watford FC (ENG),175
3,Senegal,1,Home,12,5,3112,19,DC,Diedhiou Famara,Famara,Diedhiou,Diedhiou,15/12/1992,Alanyaspor (TUR),192
3,Senegal,1,Home,13,5,3113,21,DC,Dia Boulaye,Boulaye,Dia,Dia,16/11/1996,US Salernitana (ITA),180
3,Senegal,1,Home,14,5,3114,25,DC,Jackson Nicolas,Nicolas,Jackson,Jackson,20/6/2001,Villarreal CF (ESP),186
3,Senegal,1,Home,15,5,3115,7,DF,Sabaly Youssouf,Youssouf,Sabaly,Sabaly,5/3/1993,Real Betis (ESP),174
3,Senegal,1,Home,16,8,3116,9,DC,Ndiaye Iliman,Iliman Cheikh Baroy,Ndiaye,Iliman,6/3/2000,Sheffield United FC (ENG),180
3,Senegal,1,Home,17,8,3117,11,DF,Mendy Formose,Formose,Mendy,Formose,2/1/2001,Amiens SC (FRA),191
3,Senegal,1,Home,18,8,3118,13,MC,Gueye Pape,Pape Alassane,Gueye,Pape Gueye,24/1/1999,Olympique Marseille (FRA),189
3,Senegal,1,Home,19,8,3119,14,DF,Name Moustapha,Moustapha,Name,Name,5/5/1995,Pafos FC (CYP),183
3,Senegal,1,Home,20,8,3120,16,MC,Ciss Pathe,Ismaila Pathe,Ciss,Pathe,16/3/1994,Rayo Vallecano (ESP),186
3,Senegal,1,Home,21,8,3121,20,DC,Dieng Bamba,Cheikh Ahmadou Bamba Mbacke,Dieng,Bamba,23/3/2000,Olympique Marseille (FRA),178
3,Senegal,1,Home,22,8,3122,22,DF,Ballo-Toure Fode,Fode,Ballo,Fode Ballo,3/1/1997,AC Milan (ITA),182
3,Senegal,1,Home,23,8,3123,24,MC,Ndiaye Mamadou Loum,Mamadou Loum,Ndiaye,Loum Ndiaye,30/12/1996,Reading FC (ENG),193
3,Senegal,2,Away,1,5,3201,10,DC,Mane Sadio,Sadio,Mané,Mané,10/4/1992,FC Bayern München (GER),175
3,Senegal,2,Away,2,22,3202,2,DF,Jakobs Ismail,Ismail Joshua,Jakobs,Jakobs,17/8/1999,AS Monaco (FRA),184
3,Senegal,2,Away,3,22,3203,3,DF,Koulibaly Kalidou,Kalidou,Koulibaly,Koulibaly,20/6/1991,Chelsea FC (ENG),195
3,Senegal,2,Away,4,22,3204,4,DF,Diallo Abdou,Abdou Lakhad,Diallo,Diallo,4/5/1996,RB Leipzig (GER),187
3,Senegal,2,Away,5,22,3205,5,MC,Gueye Idrissa Gana,Idrissa Gana,Gueye,Gana,26/9/1989,Everton FC (ENG),174
3,Senegal,2,Away,6,22,3206,6,MC,Mendy Nampalys,Nampalys,Mendy,Nampalys,23/6/1992,Leicester City FC (ENG),167
3,Senegal,2,Away,7,22,3207,8,DF,Kouyate Cheikhou,Cheikhou,Kouyate,Kouyate,21/12/1989,Nottingham Forest FC (ENG),189
3,Senegal,2,Away,8,22,3208,12,DF,Cisse Pape Abou,Pape Abou,Cisse,Pape Abou,14/9/1995,Olympiacos Piraeus FC (GRE),192
3,Senegal,2,Away,9,22,3209,15,MC,Diatta Krepin,Krépin,Diatta,K Diatta,25/2/1999,AS Monaco (FRA),173
3,Senegal,2,Away,10,22,3210,17,MC,Sarr Pape Matar,Pape Matar,Sarr,Pape Sarr,14/9/2002,Tottenham Hotspur FC (ENG),185
3,Senegal,2,Away,11,22,3211,18,DC,Sarr Ismaila,Ismaila,Sarr,I Sarr,25/2/1998,Watford FC (ENG),175
3,Senegal,2,Away,12,22,3212,19,DC,Diedhiou Famara,Famara,Diedhiou,Diedhiou,15/12/1992,Alanyaspor (TUR),192
3,Senegal,2,Away,13,22,3213,21,DC,Dia Boulaye,Boulaye,Dia,Dia,16/11/1996,US Salernitana (ITA),180
3,Senegal,2,Away,14,22,3214,25,DC,Jackson Nicolas,Nicolas,Jackson,Jackson,20/6/2001,Villarreal CF (ESP),186
3,Senegal,2,Away,15,22,3215,7,DF,Sabaly Youssouf,Youssouf,Sabaly,Sabaly,5/3/1993,Real Betis (ESP),174
3,Senegal,2,Away,16,30,3216,9,DC,Ndiaye Iliman,Iliman Cheikh Baroy,Ndiaye,Iliman,6/3/2000,Sheffield United FC (ENG),180
3,Senegal,2,Away,17,30,3217,11,DF,Mendy Formose,Formose,Mendy,Formose,2/1/2001,Amiens SC (FRA),191
3,Senegal,2,Away,18,30,3218,13,MC,Gueye Pape,Pape Alassane,Gueye,Pape Gueye,24/1/1999,Olympique Marseille (FRA),189
3,Senegal,2,Away,19,30,3219,14,DF,Name Moustapha,Moustapha,Name,Name,5/5/1995,Pafos FC (CYP),183
3,Senegal,2,Away,20,30,3220,16,MC,Ciss Pathe,Ismaila Pathe,Ciss,Pathe,16/3/1994,Rayo Vallecano (ESP),186
3,Senegal,2,Away,21,30,3221,20,DC,Dieng Bamba,Cheikh Ahmadou Bamba Mbacke,Dieng,Bamba,23/3/2000,Olympique Marseille (FRA),178
3,Senegal,2,Away,22,30,3222,22,DF,Ballo-Toure Fode,Fode,Ballo,Fode Ballo,3/1/1997,AC Milan (ITA),182
3,Senegal,2,Away,23,30,3223,24,MC,Ndiaye Mamadou Loum,Mamadou Loum,Ndiaye,Loum Ndiaye,30/12/1996,Reading FC (ENG),193
3,Senegal,3,Goalkeeper,1,110,3301,1,PO,Mendy Edouard,Edouard Osoque,Mendy,Mendy,1/3/1992,Chelsea FC (ENG),194
3,Senegal,3,Goalkeeper,2,220,3302,23,PO,Dieng Seny,Seny Timothy,Dieng,Seny,23/11/1994,Queens Park Rangers FC (ENG),195
3,Senegal,3,Goalkeeper,3,220,3303,26,PO,Gomis Alfred,Amigo Alfred Junior,Gomis,Gomis,5/9/1993,Stade Rennais FC (FRA),196
4,Netherlands,1,Home,1,6,4101,4,DF,Van Dijk Virgil,Virgil,Van Dijk,Virgil,8/7/1991,Liverpool FC (ENG),195
4,Netherlands,1,Home,2,22,4102,2,DF,Timber Jurrien,Jurriën David Norman,Timber,Timber,17/6/2001,AFC Ajax (NED),179
4,Netherlands,1,Home,3,22,4103,3,DF,De Ligt Matthijs,Matthijs,De Ligt,De Ligt,12/8/1999,FC Bayern München (GER),187
4,Netherlands,1,Home,4,22,4104,5,DF,Ake Nathan,Nathan Benjamin,Aké,Aké,18/2/1995,Manchester City FC (ENG),180
4,Netherlands,1,Home,5,22,4105,7,DC,Bergwijn Steven,Steven Charles,Bergwijn,Bergwijn,8/10/1997,AFC Ajax (NED),175
4,Netherlands,1,Home,6,22,4106,8,DC,Gakpo Cody,Cody Mathès,Gakpo,Gakpo,7/5/1999,PSV Eindhoven (NED),193
4,Netherlands,1,Home,7,22,4107,10,DC,Depay Memphis,Memphis,Depay,Memphis,13/2/1994,FC Barcelona (ESP),178
4,Netherlands,1,Home,8,22,4108,11,MC,Berghuis Steven,Steven,Berghuis,Berghuis,19/12/1991,AFC Ajax (NED),182
4,Netherlands,1,Home,9,22,4109,14,MC,Klaassen Davy,Davy,Klaassen,Klaassen,21/2/1993,AFC Ajax (NED),179
4,Netherlands,1,Home,10,22,4110,17,DF,Blind Daley,Daley,Blind,Blind,9/3/1990,AFC Ajax (NED),180
4,Netherlands,1,Home,11,22,4111,18,DC,Janssen Vincent,Vincent Petrus Anna Sebastiaan,Janssen,Janssen,15/6/1994,Royal Antwerp FC (BEL),184
4,Netherlands,1,Home,12,22,4112,20,MC,Koopmeiners Teun,Teun,Koopmeiners,Koopmeiners,28/2/1998,Atalanta Bergamo (ITA),184
4,Netherlands,1,Home,13,22,4113,21,MC,De Jong Frenkie,Frenkie,De Jong,F. De Jong,12/5/1997,FC Barcelona (ESP),181
4,Netherlands,1,Home,14,22,4114,22,DF,Dumfries Denzel,Denzel Justus Morris,Dumfries,Dumfries,18/4/1996,FC Internazionale (ITA),188
4,Netherlands,1,Home,15,22,4115,6,DF,De Vrij Stefan,Stefan,De Vrij,De Vrij,5/2/1992,FC Internazionale (ITA),190
4,Netherlands,1,Home,16,30,4116,9,DC,De Jong Luuk,Luuk,De Jong,L. De Jong,27/8/1990,PSV Eindhoven (NED),188
4,Netherlands,1,Home,17,30,4117,12,DC,Lang Noa,Noa Noëll,Lang,Lang,17/6/1999,Club Brugge (BEL),176
4,Netherlands,1,Home,18,30,4118,15,MC,De Roon Marten,Marten Elco,De Roon,De Roon,29/3/1991,Atalanta Bergamo (ITA),186
4,Netherlands,1,Home,19,30,4119,16,DF,Malacia Tyrell,Tyrell Johannes Chicco,Malacia,Malacia,17/8/1999,Manchester United FC (ENG),170
4,Netherlands,1,Home,20,30,4120,19,DC,Weghorst Wout,Wout François Maria,Weghorst,Weghorst,7/8/1992,Besiktas JK (TUR),197
4,Netherlands,1,Home,21,30,4121,24,MC,Taylor Kenneth,Kenneth Ina Dorothea,Taylor,Taylor,16/5/2002,AFC Ajax (NED),182
4,Netherlands,1,Home,22,30,4122,25,MC,Simons Xavi,Xavi Quentin Shay,Simons,Simons,21/4/2003,PSV Eindhoven (NED),179
4,Netherlands,1,Home,23,30,4123,26,DF,Frimpong Jeremie,Jeremie Agyekum,Frimpong,Frimpong,10/12/2000,Bayer 04 Leverkusen (GER),171
4,Netherlands,2,Away,1,2,4201,4,DF,Van Dijk Virgil,Virgil,Van Dijk,Virgil,8/7/1991,Liverpool FC (ENG),195
4,Netherlands,2,Away,2,5,4202,2,DF,Timber Jurrien,Jurriën David Norman,Timber,Timber,17/6/2001,AFC Ajax (NED),179
4,Netherlands,2,Away,3,5,4203,3,DF,De Ligt Matthijs,Matthijs,De Ligt,De Ligt,12/8/1999,FC Bayern München (GER),187
4,Netherlands,2,Away,4,5,4204,5,DF,Ake Nathan,Nathan Benjamin,Aké,Aké,18/2/1995,Manchester City FC (ENG),180
4,Netherlands,2,Away,5,5,4205,7,DC,Bergwijn Steven,Steven Charles,Bergwijn,Bergwijn,8/10/1997,AFC Ajax (NED),175
4,Netherlands,2,Away,6,5,4206,8,DC,Gakpo Cody,Cody Mathès,Gakpo,Gakpo,7/5/1999,PSV Eindhoven (NED),193
4,Netherlands,2,Away,7,5,4207,10,DC,Depay Memphis,Memphis,Depay,Memphis,13/2/1994,FC Barcelona (ESP),178
4,Netherlands,2,Away,8,5,4208,11,MC,Berghuis Steven,Steven,Berghuis,Berghuis,19/12/1991,AFC Ajax (NED),182
